& CONDICOES INICIAIS DAS UNIDADES                
&                                                
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
CROSSOVER 0 0 0 0
&ENGOLIMENTO 0
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
110  N.PIRATININ    6    0        0.000  18576  1  0  0          0.
110  N.PIRATININ    7    0        0.000  18576  0  0  0          0.
110  N.PIRATININ    8    0        0.000  19104  0  0  0          0.
110  N.PIRATININ    9    0        0.000  19366  1  0  0          0.
110  N.PIRATININ   10    0        0.000  19198  1  0  0          0.
110  N.PIRATININ   11    0        0.000  19104  0  0  0          0.
110  N.PIRATININ   12    0        0.000  18744  0  0  0          0.
110  N.PIRATININ   13    0        0.000  19104  0  0  0          0.
110  N.PIRATININ   14    0        0.000  19104  0  0  0          0.
110  N.PIRATININ   15    0        0.000  19104  0  0  0          0.
112  CURUMIM        1    0        0.000  18608  0  0  0          0.
112  CURUMIM        2    0        0.000  18600  0  0  0          0.
112  CURUMIM        3    0        0.000  18602  0  0  0          0.
116  PARNAIBA IV    1    0        0.000    106  0  0  0          0.
137  GNA            1    0        0.000  18504  0  0  0          0.
&Ajuste conforme valores programados
140  MAUA 3         1    0        0.000    336  0  0  0        264.
140  MAUA 3         2    0        0.000   2016  0  0  0        264.
140  MAUA 3         3    0        0.000    192  0  0  0        264.
140  MAUA 3         4    0        0.000     24  0  0  0        264.
140  MAUA 3         5    0        0.000   2776  0  0  0        264.
140  MAUA 3         6    0        0.000   2856  0  0  0        264.
140  MAUA 3         7    1      440.000     24  0  0  0        264.
140  MAUA 3         8    0        0.000   4704  0  0  0        264.
144  PETROLINA      1    0        0.000  19928  1  0  0          0.
144  PETROLINA      2    0        0.000   3126  0  0  0          0.
144  PETROLINA      3    0        0.000  19391  0  0  0          0.
144  PETROLINA      4    0        0.000  19407  0  0  0          0.
144  PETROLINA      5    0        0.000   3126  0  0  0          0.
144  PETROLINA      6    0        0.000  20161  1  0  0          0.
144  PETROLINA      7    0        0.000  18930  1  0  0          0.
144  PETROLINA      8    0        0.000  18938  1  0  0          0.
146  STA VITORIA    1    1       38.502   5294  1  0  2         39.
147  PROSPERID. 1   1    0        0.000    193  0  0  0          0.
147  PROSPERID. 1   2    0        0.000    193  0  0  0          0.
147  PROSPERID. 1   3    0        0.000    193  0  0  0          0.
149  SAO SEPE       1    1        4.000     37  1  0  2          4.
151  POTIGUAR       1    0        0.000  18941  0  0  0          0.
151  POTIGUAR       2    0        0.000  18941  0  0  0          0.
151  POTIGUAR       3    0        0.000  18941  0  0  0          0.
151  POTIGUAR       4    0        0.000  18941  0  0  0          0.
152  TERMOCABO      1    0        0.000  18984  0  0  0          0.
152  TERMOCABO      2    0        0.000  18935  0  0  0          0.
152  TERMOCABO      3    0        0.000  19992  0  0  0          0.
153  DAIA           1    0        0.000   3480  0  0  0          0.
153  DAIA           2    0        0.000   3480  0  0  0          0.
155  GOIANIA II     1    0        0.000   3480  0  0  0          0.
155  GOIANIA II     2    0        0.000   3480  0  0  0          0.
156  CANDIOTA 3     1    1      300.000   1839  0  0  2        300.
159  TERMOMANAUS    1    0        0.000  18939  0  0  0          0.
159  TERMOMANAUS    2    0        0.000  18939  0  0  0          0.
159  TERMOMANAUS    3    0        0.000  18939  0  0  0          0.
159  TERMOMANAUS    4    0        0.000  18939  0  0  0          0.
159  TERMOMANAUS    5    0        0.000  18939  0  0  0          0.
159  TERMOMANAUS    6    0        0.000  18939  0  0  0          0.
159  TERMOMANAUS    7    0        0.000  18939  0  0  0          0.
159  TERMOMANAUS    8    0        0.000  18939  0  0  0          0.
159  TERMOMANAUS    9    0        0.000  18939  0  0  0          0.
159  TERMOMANAUS   10    0        0.000  18939  0  0  0          0.
159  TERMOMANAUS   11    0        0.000  18939  0  0  0          0.
159  TERMOMANAUS   12    0        0.000  18939  0  0  0          0.
160  PAU FERRO I    1    0        0.000  18939  0  0  0          0.
160  PAU FERRO I    2    0        0.000  18939  0  0  0          0.
160  PAU FERRO I    3    0        0.000  18939  0  0  0          0.
160  PAU FERRO I    4    0        0.000  18939  0  0  0          0.
160  PAU FERRO I    5    0        0.000  18939  0  0  0          0.
160  PAU FERRO I    6    0        0.000  18939  0  0  0          0.
160  PAU FERRO I    7    0        0.000  18939  0  0  0          0.
161  POTIGUAR III   1    0        0.000  18941  0  0  0          0.
161  POTIGUAR III   2    0        0.000  18941  0  0  0          0.
161  POTIGUAR III   3    0        0.000  19037  0  0  0          0.
161  POTIGUAR III   4    0        0.000  19445  0  0  0          0.
161  POTIGUAR III   5    0        0.000  18941  0  0  0          0.
161  POTIGUAR III   6    0        0.000  18941  0  0  0          0.
163  P. PECEM II    1    0        0.000  18428  1  0  0          0.
164  APOENA         1    0        0.000  19338  1  0  0          0.
164  APOENA         2    0        0.000  18871  0  0  0          0.
164  APOENA         3    0        0.000  18876  0  0  0          0.
164  APOENA         4    0        0.000  19071  0  0  0          0.
164  APOENA         5    0        0.000  19056  0  0  0          0.
164  APOENA         6    0        0.000  18819  1  0  0          0.
166  GUARANI        1    0        0.000  19399  0  0  0          0.
166  GUARANI        2    0        0.000  19063  0  0  0          0.
166  GUARANI        3    0        0.000  18674  0  0  0          0.
166  GUARANI        4    0        0.000  18817  0  0  0          0.
166  GUARANI        5    0        0.000  18817  0  0  0          0.
166  GUARANI        6    0        0.000  18817  0  0  0          0.
166  GUARANI        7    0        0.000  18817  0  0  0          0.
166  GUARANI        8    0        0.000  18817  0  0  0          0.
166  GUARANI        9    0        0.000  18817  0  0  0          0.
166  GUARANI       10    0        0.000  18817  0  0  0          0.
166  GUARANI       11    0        0.000  18817  0  0  0          0.
167  P. PECEM I     1    0        0.000  18426  0  0  0          0.
167  P. PECEM I     2    0        0.000  18426  1  0  0          0.
169  CISFRAMA       1    1        2.000    210  0  0  2          2.
170  SUAPE II       1    0        0.000  18933  0  0  0          0.
170  SUAPE II       2    0        0.000  22849  1  0  0          0.
170  SUAPE II       3    0        0.000  19106  0  0  0          0.
170  SUAPE II       4    0        0.000  18817  1  0  0          0.
170  SUAPE II       5    0        0.000  20168  0  0  0          0.
170  SUAPE II       6    0        0.000  19170  0  0  0          0.
170  SUAPE II       7    0        0.000  19384  1  0  0          0.
170  SUAPE II       8    0        0.000  19313  0  0  0          0.
170  SUAPE II       9    0        0.000  19336  1  0  0          0.
170  SUAPE II      10    0        0.000  19105  0  0  0          0.
170  SUAPE II      11    0        0.000  18938  0  0  0          0.
170  SUAPE II      12    0        0.000  19093  1  0  0          0.
170  SUAPE II      13    0        0.000  18953  0  0  0          0.
170  SUAPE II      14    0        0.000  18945  0  0  0          0.
170  SUAPE II      15    0        0.000  18987  0  0  0          0.
170  SUAPE II      16    0        0.000  19156  0  0  0          0.
170  SUAPE II      17    0        0.000   3480  0  0  0          0.
176  PORTO ITAQUI   1    0        0.000  18428  1  0  0          0.
182  PALMEIRAS GO   1    0        0.000  25830  1  0  0          0.
182  PALMEIRAS GO   2    0        0.000  25878  0  0  0          0.
194  T.NORTE 2      1    0        0.000   3132  0  0  0          0.
194  T.NORTE 2      2    0        0.000   3132  0  0  0          0.
194  T.NORTE 2      3    0        0.000  26310  1  0  0          0.
194  T.NORTE 2      4    0        0.000  26310  0  0  0          0.
194  T.NORTE 2      5    0        0.000  26310  0  0  0          0.
194  T.NORTE 2      6    0        0.000  26310  0  0  0          0.
194  T.NORTE 2      7    0        0.000  26310  0  0  0          0.
201  APARECIDA      1    1       38.859      1  0  0  2         75.
201  APARECIDA      2    0        0.000   1179  1  0  0         75.
201  APARECIDA      3    0        0.000      0  1  0  0         75.
201  APARECIDA      4    1       36.141      3  0  0  2         75.
203  C. ROCHA       1    1       17.076    322  0  0  2         68.
203  C. ROCHA       2    1       17.076    192  0  0  2         68.
203  C. ROCHA       3    1       17.076    205  0  0  2         68.
203  C. ROCHA       4    0        0.000    102  0  0  0         68.
203  C. ROCHA       5    1       17.076    192  0  0  2         68.
204  JARAQUI        6    1       29.734   3274  0  0  2         63.
204  JARAQUI        7    1       33.266   3274  0  0  2         63.
205  MANAUARA       1    1       18.350   1011  1  0  2         64.
205  MANAUARA       2    1       18.350    952  1  0  2         64.
205  MANAUARA       3    1       18.350    168  1  0  2         64.
205  MANAUARA       4    1        8.950    672  0  0  2         64.
207  PONTA NEGRA    1    1       16.000   1259  0  0  2         64.
207  PONTA NEGRA    2    1       16.000   1259  0  0  2         64.
207  PONTA NEGRA    3    1       16.000   1080  0  0  2         64.
207  PONTA NEGRA    4    1       16.000    912  0  0  2         64.
209  TAMBAQUI       5    0        0.000   5955  0  0  0         63.
209  TAMBAQUI       6    1       33.266   5962  0  0  2         63.
209  TAMBAQUI       7    1       29.734   5962  0  0  2         63.
211  BAIXADA FLU    1    0        0.000  21644  1  0  0          0.
211  BAIXADA FLU    2    0        0.000  26928  0  0  0          0.
211  BAIXADA FLU    3    0        0.000  18262  1  0  0          0.
212  MARANHAO III   1    1      490.000   1418  0  0  2        490.
221  SYKUE I        1    0        0.000  25462  1  0  0          0.
223  PROSPERID. 3   1    0        0.000    193  1  0  0          0.
223  PROSPERID. 3   2    0        0.000    193  1  0  0          0.
223  PROSPERID. 3   3    0        0.000    193  1  0  0          0.
223  PROSPERID. 3   4    0        0.000    193  1  0  0          0.
223  PROSPERID. 3   5    0        0.000    193  1  0  0          0.
223  PROSPERID. 3   6    0        0.000    193  1  0  0          0.
224  P. SERGIPE I   1    0        0.000  16752  0  0  0          0.
224  P. SERGIPE I   2    0        0.000  16827  1  0  0          0.
224  P. SERGIPE I   3    0        0.000  31872  0  0  0          0.
224  P. SERGIPE I   4    0        0.000  30422  1  0  0          0.
224  P. SERGIPE I   5    0        0.000  31872  0  0  0          0.
224  P. SERGIPE I   6    0        0.000  30648  1  0  0          0.
224  P. SERGIPE I   7    0        0.000  30612  0  0  0          0.
229  ONCA PINTADA   1    0        0.000   3143  1  0  0          0.
239  PARNAIBA V     1    0        0.000    114  0  0  0          0.
241  PROSPERID. 2   1    0        0.000    193  1  0  0          0.
241  PROSPERID. 2   2    0        0.000    193  1  0  0          0.
241  PROSPERID. 2   3    0        0.000    193  1  0  0          0.
241  PROSPERID. 2   4    0        0.000    193  1  0  0          0.
&Ajuste conforme inflexibilidade declarada
245  KARKEY 013     1    0        0.000    192  0  0  0          0.
245  KARKEY 013     2    1       31.000      0  0  0  0          0.
245  KARKEY 013     3    0        0.000    936  0  0  0          0.
245  KARKEY 013     4    0        0.000    938  0  0  0          0.
245  KARKEY 013     5    0        0.000    376  0  0  0          0.
245  KARKEY 013     6    0        0.000     39  0  0  0          0.
245  KARKEY 013     7    0        0.000     38  0  0  0          0.
245  KARKEY 013     8    0        0.000   5408  0  0  0          0.
245  KARKEY 013     9    0        0.000   6906  0  0  0          0.
245  KARKEY 013    10    0        0.000   9624  0  0  0          0.
245  KARKEY 013    11    0        0.000   7627  0  0  0          0.
245  KARKEY 013    12    0        0.000    316  1  0  0          0.
245  KARKEY 013    13    0        0.000   5412  1  0  0          0.
246  KARKEY 019     1    0        0.000   3143  0  0  0          0.
246  KARKEY 019     2    0        0.000   3791  1  0  0          0.
246  KARKEY 019     3    0        0.000   6120  0  0  0          0.
246  KARKEY 019     4    0        0.000   3790  1  0  0          0.
246  KARKEY 019     5    0        0.000   9720  0  0  0          0.
246  KARKEY 019     6    0        0.000    820  0  0  0          0.
246  KARKEY 019     7    0        0.000   3144  0  0  0          0.
247  LINHARES PCS   1    0        0.000   1656  0  0  0          0.
248  PAULINIA       1    1       15.000   2365  0  0  2         15.
249  PORSUD I       1    0        0.000   9720  0  0  0          0.
249  PORSUD I       2    0        0.000   9720  0  0  0          0.
249  PORSUD I       3    0        0.000   9720  0  0  0          0.
249  PORSUD I       4    0        0.000   9720  0  0  0          0.
249  PORSUD I       5    0        0.000   9720  0  0  0          0.
249  PORSUD I       6    0        0.000    820  0  0  0          0.
250  PORSUD II      1    0        0.000   9120  0  0  0          0.
250  PORSUD II      2    0        0.000   9120  0  0  0          0.
250  PORSUD II      3    0        0.000   9120  0  0  0          0.
250  PORSUD II      4    0        0.000    820  0  0  0          0.
250  PORSUD II      5    0        0.000   9120  0  0  0          0.
251  POVOACAO 1     1    0        0.000   1656  0  0  0          0.
251  POVOACAO 1     2    0        0.000   1656  0  0  0          0.
253  VIANA 1        1    0        0.000   1656  0  0  0          0.
253  VIANA 1        2    0        0.000   1656  0  0  0          0.
253  VIANA 1        3    0        0.000   1656  0  0  0          0.
253  VIANA 1        4    0        0.000   1656  0  0  0          0.
254  B. BONITA I    1    1        4.000     72  0  0  2          4.
334  W ARJONA       1    0        0.000  19384  1  0  0          0.
334  W ARJONA       2    0        0.000  19384  1  0  0          0.
334  W ARJONA       3    0        0.000  20448  0  0  0          0.
334  W ARJONA       4    0        0.000  19384  1  0  0          0.
334  W ARJONA       5    0        0.000  19312  1  0  0          0.
383  ATLANTICO      1    0        0.000   8699  0  0  0        365.
383  ATLANTICO      2    0        0.000   1995  0  0  0        365.
383  ATLANTICO      3    0        0.000   1947  0  0  0        365.
383  ATLANTICO      4    0        0.000   2088  0  0  0        365.
383  ATLANTICO      5    0        0.000    456  0  0  0        365.
383  ATLANTICO      6    0        0.000    672  0  0  0        365.
383  ATLANTICO      7    1      365.000    456  0  0  0        365.
434  W ARJONA 2     1    0        0.000  19384  1  0  0          0.
