&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT    83    1  S    08 12 1  F                8209
DEFANT    83    1  S    08 13 0  F                8211
DEFANT    83    1  S    08 13 1  F                8216
DEFANT    83    1  S    08 14 0  F                8221
DEFANT    83    1  S    08 14 1  F                8227
DEFANT    83    1  S    08 15 0  F                8234
DEFANT    83    1  S    08 15 1  F                8239
DEFANT    83    1  S    08 16 0  F                8241
DEFANT    83    1  S    08 16 1  F                8241
DEFANT    83    1  S    08 17 0  F                8241
DEFANT    83    1  S    08 17 1  F                8241
DEFANT    83    1  S    08 18 0  F                8241
DEFANT    83    1  S    08 18 1  F                8241
DEFANT    83    1  S    08 19 0  F                8241
DEFANT    83    1  S    08 19 1  F                8241
DEFANT    83    1  S    08 20 0  F                8241
DEFANT    83    1  S    08 20 1  F                8241
DEFANT    83    1  S    08 21 0  F                8240
DEFANT    83    1  S    08 21 1  F                8240
DEFANT    83    1  S    08 22 0  F                8240
DEFANT    83    1  S    08 22 1  F                8240
DEFANT    83    1  S    08 23 0  F                8240
DEFANT    83    1  S    08 23 1  F                8240
