 P.CHAVE  MODIFICACOES E INDICES
 XXXXXXXX XXXXXXXXXXXXXXXXXXXXX
 VMAXT     8 2027  98.200 '%'
 VMAXT     9 2027  88.900 '%'
 VMAXT    10 2027 100.000 '%'
 VMAXT    11 2027  97.900 '%'
 VMAXT    12 2027  86.600 '%'
 USINA    50                                L.N. GARCEZ
 VAZMINT  11 2023  127.00
 USINA    51                                CANOAS II   
 VAZMIN      130
 USINA    52                                CANOAS I
 VAZMIN      137
 USINA    37                                BARRA BONITA
 VMINT    11 2023  48.290 '%'
 VMAXT    11 2023  93.500 '%'
 VMAXT    12 2023  92.000 '%'
 VMAXT     1 2024  92.200 '%'
 VMAXT     2 2024  94.200 '%'
 VMAXT     3 2024  97.100 '%'
 VMAXT     4 2024  98.400 '%'
 VMAXT     5 2024  98.800 '%'
 VMAXT     6 2024 100.000 '%'
 VMAXT    11 2024  85.900 '%'
 VMAXT    12 2024  48.290 '%'
 VMAXT     1 2025  79.400 '%'
 VMAXT     2 2025  84.000 '%'
 VMAXT     3 2025  90.300 '%'
 VMAXT     4 2025  95.300 '%'
 VMAXT     5 2025  95.500 '%'
 VMAXT     6 2025 100.000 '%'
 VMAXT    11 2025  85.900 '%'
 VMAXT    12 2025  48.290 '%'
 VMAXT     1 2026  79.400 '%'
 VMAXT     2 2026  84.000 '%'
 VMAXT     3 2026  90.300 '%'
 VMAXT     4 2026  95.300 '%'
 VMAXT     5 2026  95.500 '%'
 VMAXT     6 2026 100.000 '%'
 VMAXT    11 2026  85.900 '%'
 VMAXT    12 2026  48.290 '%'
 VMAXT     1 2027  79.400 '%'
 VMAXT     2 2027  84.000 '%'
 VMAXT     3 2027  90.300 '%'
 VMAXT     4 2027  95.300 '%'
 VMAXT     5 2027  95.500 '%'
 VMAXT     6 2027 100.000 '%'
 VMAXT    11 2027  85.900 '%'
 VMAXT    12 2027  48.290 '%'
 USINA    40                                PROMISSAO   
 VAZMIN      160
 VMINT    11 2023  28.950 '%'
 VMAXT    11 2023  55.400 '%'
 VMAXT     2 2024  58.400 '%'
 VMAXT     3 2024  95.400 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  74.000 '%'
 VMAXT    12 2024  67.600 '%'
 VMAXT     1 2025  75.900 '%'
 VMAXT     2 2025  83.900 '%'
 VMAXT     3 2025  93.800 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  74.000 '%'
 VMAXT    12 2025  67.600 '%'
 VMAXT     1 2026  75.900 '%'
 VMAXT     2 2026  83.900 '%'
 VMAXT     3 2026  93.800 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    11 2026  74.000 '%'
 VMAXT    12 2026  67.600 '%'
 VMAXT     1 2027  75.900 '%'
 VMAXT     2 2027  83.900 '%'
 VMAXT     3 2027  93.800 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    11 2027  74.000 '%'
 VMAXT    12 2027  67.600 '%'
 USINA    43                                TRES IRMAOS
 VMINT    11 2023  45.570 '%'
 VMAXT    11 2023  65.860 '%'
 VMAXT     3 2024  88.440 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  61.760 '%'
 VMAXT     2 2025  64.960 '%'
 VMAXT     3 2025  86.530 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  61.760 '%'
 VMAXT     2 2026  64.960 '%'
 VMAXT     3 2026  86.530 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    11 2026  61.760 '%'
 VMAXT     2 2027  64.960 '%'
 VMAXT     3 2027  86.530 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    11 2027  61.760 '%'
 USINA    117                               GUARAPIRANGA
 VMAXT    11 2023  94.560 '%'
 VMAXT    12 2023  89.020 '%'
 VMAXT     1 2024  77.120 '%'
 VMAXT     2 2024  85.720 '%'
 VMAXT     3 2024  85.850 '%'
 VMAXT     4 2024  92.760 '%'
 VMAXT     7 2024  95.390 '%'
 VMAXT    11 2024  94.560 '%'
 VMAXT    12 2024  89.020 '%'
 VMAXT     1 2025  77.120 '%'
 VMAXT     2 2025  85.720 '%'
 VMAXT     3 2025  85.850 '%'
 VMAXT     4 2025  92.760 '%'
 VMAXT     7 2025  95.390 '%'
 VMAXT    11 2025  94.560 '%'
 VMAXT    12 2025  89.020 '%'
 VMAXT     1 2026  77.120 '%'
 VMAXT     2 2026  85.720 '%'
 VMAXT     3 2026  85.850 '%'
 VMAXT     4 2026  92.760 '%'
 VMAXT     7 2026  95.390 '%'
 VMAXT    11 2026  94.560 '%'
 VMAXT    12 2026  89.020 '%'
 VMAXT     1 2027  77.120 '%'
 VMAXT     2 2027  85.720 '%'
 VMAXT     3 2027  85.850 '%'
 VMAXT     4 2027  92.760 '%'
 VMAXT     7 2027  95.390 '%'
 VMAXT    11 2027  94.560 '%'
 VMAXT    12 2027  89.020 '%'
 USINA    118                               BILLINGS    
 VAZMIN        6
 VMAXT    11 2023  87.950 '%'
 VMAXT    12 2023  87.050 '%'
 VMAXT     1 2024  80.990 '%'
 VMAXT     2 2024  84.300 '%'
 VMAXT     3 2024  87.150 '%'
 VMAXT     4 2024  88.850 '%'
 VMAXT     5 2024  89.960 '%'
 VMAXT     6 2024  90.260 '%'
 VMAXT     7 2024  91.670 '%'
 VMAXT     8 2024  92.280 '%'
 VMAXT     9 2024  91.370 '%'
 VMAXT    10 2024  89.450 '%'
 VMAXT    11 2024  87.950 '%'
 VMAXT    12 2024  87.050 '%'
 VMAXT     1 2025  80.990 '%'
 VMAXT     2 2025  84.300 '%'
 VMAXT     3 2025  87.150 '%'
 VMAXT     4 2025  88.850 '%'
 VMAXT     5 2025  89.960 '%'
 VMAXT     6 2025  90.260 '%'
 VMAXT     7 2025  91.670 '%'
 VMAXT     8 2025  92.280 '%'
 VMAXT     9 2025  91.370 '%'
 VMAXT    10 2025  89.450 '%'
 VMAXT    11 2025  87.950 '%'
 VMAXT    12 2025  87.050 '%'
 VMAXT     1 2026  80.990 '%'
 VMAXT     2 2026  84.300 '%'
 VMAXT     3 2026  87.150 '%'
 VMAXT     4 2026  88.850 '%'
 VMAXT     5 2026  89.960 '%'
 VMAXT     6 2026  90.260 '%'
 VMAXT     7 2026  91.670 '%'
 VMAXT     8 2026  92.280 '%'
 VMAXT     9 2026  91.370 '%'
 VMAXT    10 2026  89.450 '%'
 VMAXT    11 2026  87.950 '%'
 VMAXT    12 2026  87.050 '%'
 VMAXT     1 2027  80.990 '%'
 VMAXT     2 2027  84.300 '%'
 VMAXT     3 2027  87.150 '%'
 VMAXT     4 2027  88.850 '%'
 VMAXT     5 2027  89.960 '%'
 VMAXT     6 2027  90.260 '%'
 VMAXT     7 2027  91.670 '%'
 VMAXT     8 2027  92.280 '%'
 VMAXT     9 2027  91.370 '%'
 VMAXT    10 2027  89.450 '%'
 VMAXT    11 2027  87.950 '%'
 VMAXT    12 2027  87.050 '%'
 USINA    119                               HENRY BORDEN
 VAZMIN        6
 USINA    120                               JAGUARI
 VAZMIN        4
 VMINT    11 2023  50.000 '%'
 VMINT     1 2024  20.000 '%'
 USINA    121                               PARAIBUNA   
 VAZMIN       10
 VMINT    11 2023  40.000 '%'
 VMINT     1 2024   5.000 '%'
 USINA    122                               SANTA BRANCA
 VAZMINT  11 2023   30.00
 VMINT    11 2023  40.000 '%'
 VMINT     1 2024  10.000 '%'
 VMAXT    11 2023  97.400 '%'
 VMAXT    12 2023  86.800 '%'
 VMAXT     3 2024  92.100 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  97.400 '%'
 VMAXT    12 2024  86.800 '%'
 VMAXT     3 2025  92.100 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    10 2025  98.200 '%'
 VMAXT    11 2025  97.400 '%'
 VMAXT    12 2025  86.800 '%'
 VMAXT     3 2026  92.100 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    10 2026  98.200 '%'
 VMAXT    11 2026  97.400 '%'
 VMAXT    12 2026  86.800 '%'
 VMAXT     3 2027  92.100 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    10 2027  98.200 '%'
 VMAXT    11 2027  97.400 '%'
 VMAXT    12 2027  86.800 '%'
 USINA    123                               FUNIL
 VAZMIN       70
 VMINT    11 2023  30.000 '%'
 VMAXT    11 2023  76.900 '%'
 VMAXT    12 2023  57.100 '%'
 VMAXT     3 2024  78.600 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  76.900 '%'
 VMAXT    12 2024  57.100 '%'
 VMAXT     3 2025  78.600 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    10 2025  97.900 '%'
 VMAXT    11 2025  76.900 '%'
 VMAXT    12 2025  57.100 '%'
 VMAXT     3 2026  78.600 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    10 2026  97.900 '%'
 VMAXT    11 2026  76.900 '%'
 VMAXT    12 2026  57.100 '%'
 VMAXT     3 2027  78.600 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    10 2027  97.900 '%'
 VMAXT    11 2027  76.900 '%'
 VMAXT    12 2027  57.100 '%'
 USINA    124                               LAJES       
 VAZMINT  11 2023    5.50
 VMINT    11 2023  17.890 '%'
 VMAXT    11 2023  83.690 '%'
 VMAXT     3 2024  91.570 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT     6 2024  96.680 '%'
 VMAXT     7 2024  93.080 '%'
 VMAXT     8 2024  89.830 '%'
 VMAXT     9 2024  86.690 '%'
 VMAXT    10 2024  83.690 '%'
 VMAXT     3 2025  91.570 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT     6 2025  96.680 '%'
 VMAXT     7 2025  93.080 '%'
 VMAXT     8 2025  89.830 '%'
 VMAXT     9 2025  86.690 '%'
 VMAXT    10 2025  83.690 '%'
 VMAXT     3 2026  91.570 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT     6 2026  96.680 '%'
 VMAXT     7 2026  93.080 '%'
 VMAXT     8 2026  89.830 '%'
 VMAXT     9 2026  86.690 '%'
 VMAXT    10 2026  83.690 '%'
 VMAXT     3 2027  91.570 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT     6 2027  96.680 '%'
 VMAXT     7 2027  93.080 '%'
 VMAXT     8 2027  89.830 '%'
 VMAXT     9 2027  86.690 '%'
 VMAXT    10 2027  83.690 '%'
 USINA    135                               P. ESTRELA  
 VAZMIN       10
 VMINT    11 2023  66.670 '%'
 VMINT     5 2024   0.000 '%'
 USINA    148                               IRAPE       
 VAZMINT  11 2023   23.40
 VMAXT    11 2023  85.400 '%'
 VMAXT    12 2023  87.800 '%'
 VMAXT     1 2024  90.000 '%'
 VMAXT     2 2024  94.600 '%'
 VMAXT     3 2024  98.400 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  85.400 '%'
 VMAXT    12 2024  87.800 '%'
 VMAXT     1 2025  90.000 '%'
 VMAXT     2 2025  94.600 '%'
 VMAXT     3 2025  98.400 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    10 2025  84.300 '%'
 VMAXT    11 2025  85.400 '%'
 VMAXT    12 2025  87.800 '%'
 VMAXT     1 2026  90.000 '%'
 VMAXT     2 2026  94.600 '%'
 VMAXT     3 2026  98.400 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    10 2026  84.300 '%'
 VMAXT    11 2026  85.400 '%'
 VMAXT    12 2026  87.800 '%'
 VMAXT     1 2027  90.000 '%'
 VMAXT     2 2027  94.600 '%'
 VMAXT     3 2027  98.400 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    10 2027  84.300 '%'
 VMAXT    11 2027  85.400 '%'
 VMAXT    12 2027  87.800 '%'
 USINA    155                               RETIRO BAIXO
 VAZMINT  11 2023   27.67
 USINA    156                               TRES MARIAS 
