NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 201 GTMIN 00075.00 12 2025 12 2025
 201 GTMIN 00075.00  1 2026  1 2026
 201 GTMIN    75.00  2 2026  2 2026
 201 GTMIN 00075.00  3 2026  3 2026
 201 GTMIN 00075.00  4 2026  4 2026
 201 GTMIN 00075.00  5 2026  5 2026
 201 GTMIN    75.00  6 2026  6 2026
 201 GTMIN 00075.00  7 2026  2 2027
 201 GTMIN 00075.00  3 2027  3 2027
 201 GTMIN 00075.00  4 2027  4 2027
 201 GTMIN 00075.00  5 2027  5 2027
 201 GTMIN    75.00  6 2027  6 2027
 201 GTMIN 00075.00  7 2027 
 260 POTEF   295.43  7 2026          AZULAO
 262 POTEF   295.43  1 2027          AZULAO II
 262 GTMIN 00097.21  1 2027  2 2027
 262 GTMIN    89.60  3 2027  3 2027
 262 GTMIN    97.21  5 2027  5 2027
 262 GTMIN 00277.76  6 2027 12 2027
 263 POTEF   295.43  1 2027          AZULAO IV
 263 GTMIN 00097.21  1 2027  2 2027
 263 GTMIN    89.60  3 2027  3 2027
 263 GTMIN    97.21  5 2027  5 2027
 263 GTMIN 00277.76  6 2027 12 2027
 322 POTEF    17.94 10 2025          BBF BALIZA
 322 FCMAX    92.75 10 2025          
 322 GTMIN 00006.66 10 2025  8 2027
 322 GTMIN 00006.66  9 2027 10 2027
 322 GTMIN 00006.66 11 2027 12 2027
 323 POTEF    11.50 10 2025          BONFIM
 323 GTMIN 00004.08 10 2025  9 2026
 323 GTMIN 00004.08 10 2026 10 2026
 323 GTMIN 00004.08 11 2026  8 2027
 323 GTMIN 00004.08  9 2027 10 2027
 323 GTMIN 00004.08 11 2027 12 2027
 203 POTEF    85.38 11 2023          C. ROCHA
 203 FCMAX    76.13 11 2023 12 2023  
 203 TEIFT     0.00 11 2023 12 2023  
 203 GTMIN 00064.99 11 2023 12 2023
 203 FCMAX   100.00  1 2024  5 2025  
 203 IPTER    20.72  1 2024  5 2025  
